,DFFPOSX1_10_FSM,DFFPOSX1_11_FSM,DFFPOSX1_12_FSM,DFFPOSX1_13_FSM,DFFPOSX1_14_FSM,DFFPOSX1_15_FSM,DFFPOSX1_1_FSM,DFFPOSX1_2_FSM,DFFPOSX1_3_FSM,DFFPOSX1_4_FSM,DFFPOSX1_5_FSM,DFFPOSX1_6_FSM,DFFPOSX1_7_FSM,DFFPOSX1_8_FSM,DFFPOSX1_9_FSM
average_neighbour_degree,1.8571428571428572,0.5,0.6666666666666666,0.5,1.3333333333333333,1.0,1.3333333333333333,2.0,1.3333333333333333,2.0,1.25,2.0,1.5,1.0,0.6666666666666666
betweenness_centrality,0.09228439059158945,0.0042765502494654314,0.012795002771838126,0.003444998812069375,0.01979389403658826,0.0036231884057971015,0.12547269739447217,0.018605963411736755,0.1267571473825929,0.03844687970222539,0.08702581769224677,0.032007305773342834,0.09649312980121962,0.009931100023758611,0.008226419577096697
closeness_centrality,0.05383022774327122,0.07194694694694695,0.06479694802435916,0.04804363146122499,0.07237036880392489,0.0604424225586887,0.06859114200192785,0.06476494701495791,0.06538666150795569,0.05310082086328109,0.061488084409678005,0.054834523036988964,0.0603517543076511,0.060490737844507,0.061402548096228964
clustering,0.0,0.16666666666666666,0.1,0.16666666666666666,0.1,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.1,0.1
degree,9.0,4.0,5.0,4.0,5.0,3.0,8.0,3.0,5.0,6.0,6.0,5.0,8.0,5.0,5.0
degree_centrality,0.048913043478260865,0.021739130434782608,0.02717391304347826,0.021739130434782608,0.02717391304347826,0.016304347826086956,0.043478260869565216,0.016304347826086956,0.02717391304347826,0.03260869565217391,0.03260869565217391,0.02717391304347826,0.043478260869565216,0.02717391304347826,0.02717391304347826
has_feedback_path,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
indegree,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
katz,0.07539721084385745,0.07539324432997063,0.0753934376082699,0.07524649870455806,0.07540008539690703,0.07523385313328389,0.07540081234490521,0.07538614843113649,0.07539176458146289,0.07538898297434704,0.0753963638663422,0.07537103702270674,0.07539093976324311,0.07539686060388202,0.075396780584204
load_centrality,0.0923616060822048,0.0042765502494654314,0.012799952482775006,0.003444998812069375,0.019764195770966976,0.0036231884057971015,0.12548259681634594,0.018605963411736755,0.12678189593727726,0.03842955571394631,0.08703076740318366,0.03199245664053219,0.09651936326918509,0.00992664528391542,0.008144749346638157
outdegree,7.0,2.0,3.0,2.0,3.0,1.0,6.0,1.0,3.0,4.0,4.0,3.0,6.0,3.0,3.0
pagerank,0.010327636185931575,0.012477303332200339,0.01788530338555751,0.00950888311292156,0.015572329619296478,0.0034284235428243214,0.01151912435499938,0.01311507431690377,0.006516671288684008,0.0054938488129856735,0.007305533696866817,0.007008879623592341,0.007303723577567286,0.014638254682072117,0.015090552710928533
xx_good_SN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx_state_ff,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
