,DFFPOSX1_10_b04_reset,DFFPOSX1_11_b04_reset,DFFPOSX1_12_b04_reset,DFFPOSX1_13_b04_reset,DFFPOSX1_14_b04_reset,DFFPOSX1_15_b04_reset,DFFPOSX1_16_b04_reset,DFFPOSX1_17_b04_reset,DFFPOSX1_18_b04_reset,DFFPOSX1_19_b04_reset,DFFPOSX1_1_b04_reset,DFFPOSX1_20_b04_reset,DFFPOSX1_21_b04_reset,DFFPOSX1_22_b04_reset,DFFPOSX1_23_b04_reset,DFFPOSX1_24_b04_reset,DFFPOSX1_25_b04_reset,DFFPOSX1_26_b04_reset,DFFPOSX1_27_b04_reset,DFFPOSX1_28_b04_reset,DFFPOSX1_29_b04_reset,DFFPOSX1_2_b04_reset,DFFPOSX1_30_b04_reset,DFFPOSX1_31_b04_reset,DFFPOSX1_32_b04_reset,DFFPOSX1_33_b04_reset,DFFPOSX1_34_b04_reset,DFFPOSX1_35_b04_reset,DFFPOSX1_36_b04_reset,DFFPOSX1_37_b04_reset,DFFPOSX1_38_b04_reset,DFFPOSX1_39_b04_reset,DFFPOSX1_3_b04_reset,DFFPOSX1_40_b04_reset,DFFPOSX1_41_b04_reset,DFFPOSX1_42_b04_reset,DFFPOSX1_43_b04_reset,DFFPOSX1_44_b04_reset,DFFPOSX1_45_b04_reset,DFFPOSX1_46_b04_reset,DFFPOSX1_47_b04_reset,DFFPOSX1_48_b04_reset,DFFPOSX1_49_b04_reset,DFFPOSX1_4_b04_reset,DFFPOSX1_50_b04_reset,DFFPOSX1_51_b04_reset,DFFPOSX1_52_b04_reset,DFFPOSX1_53_b04_reset,DFFPOSX1_54_b04_reset,DFFPOSX1_55_b04_reset,DFFPOSX1_56_b04_reset,DFFPOSX1_57_b04_reset,DFFPOSX1_58_b04_reset,DFFPOSX1_59_b04_reset,DFFPOSX1_5_b04_reset,DFFPOSX1_60_b04_reset,DFFPOSX1_61_b04_reset,DFFPOSX1_62_b04_reset,DFFPOSX1_63_b04_reset,DFFPOSX1_64_b04_reset,DFFPOSX1_65_b04_reset,DFFPOSX1_66_b04_reset,DFFPOSX1_6_b04_reset,DFFPOSX1_7_b04_reset,DFFPOSX1_8_b04_reset,DFFPOSX1_9_b04_reset
average_neighbour_degree,1.2,1.2,1.2,1.2,1.0,1.0,1.25,1.25,1.2,1.2,0.5,1.2,1.2,1.0,1.2,1.25,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,9.6,4.666666666666667,0.5,0.5,0.5,1.25
betweenness_centrality,0.005661875222630559,0.006169128996852046,0.0068995555722430385,0.006290023847592845,0.006053239165801713,0.006244686343794942,0.005622976520696238,0.010712059408693235,0.0060474061910843575,0.009564245025383507,0.00028996272838637373,0.011374288936549477,0.009886412074327456,0.009068074179327014,0.007331251466103683,0.008909603109819123,0.00014335236010112857,0.00015964240102171138,0.00017810444739837185,0.00017810444739837185,0.00017810444739837185,0.005005929574895093,0.00017810444739837185,0.0001726744337581776,0.00017810444739837185,0.0007314228373341674,0.0009171293038288112,0.0010474496311934736,0.0011451898767169703,0.0012494461386087002,0.0013390413636719055,0.0013781374618813042,0.005253538196887951,0.0014465556337477517,0.0015133448015221414,0.0019271118409049444,0.0022203325774754344,0.0024402481299033024,0.0026748247191596946,0.0028784502306669793,0.0029664164516381266,0.003116284828107488,0.0022138165611072015,0.004947285427580994,0.0028556441733781635,0.003311765319154482,0.0036538561784867202,0.004018753095107775,0.00433640889305914,0.004473245236792035,0.004704563817864309,0.003082727343811087,0.003960675220644727,0.004836332148866358,0.0046540646910105034,0.005400083126547274,0.005723996368788767,0.00604423351168601,0.006646078430913053,0.006477463271387737,0.0025197978297321487,0.0051756175011511635,0.004375504991268538,0.004150702426564496,0.003924270857768395,0.00684371769141884
closeness_centrality,0.01249002284963065,0.012596279811228437,0.012606029253806786,0.012714277748570155,0.012724210778061226,0.012784136417518343,0.012946732747152915,0.020155242471581465,0.020254204382243894,0.020262495092183416,0.010728799178314654,0.020354142890708915,0.020362515635624877,0.020412897117609928,0.02046352852840185,0.020471991526138992,0.006789329905190423,0.006789329905190423,0.006789329905190423,0.006789329905190423,0.006789329905190423,0.05456355108415047,0.006789329905190423,0.006789329905190423,0.006789329905190423,0.005798969072164949,0.005798969072164949,0.005798969072164949,0.005798969072164949,0.005798969072164949,0.005798969072164949,0.005798969072164949,0.05966327525808763,0.005798969072164949,0.006684068976427781,0.006684068976427781,0.006684068976427781,0.006684068976427781,0.006684068976427781,0.006684068976427781,0.006684068976427781,0.006684068976427781,0.006772184011726238,0.057041421822790636,0.006772184011726238,0.006772184011726238,0.006772184011726238,0.006772184011726238,0.006772184011726238,0.006772184011726238,0.006772184011726238,0.006533838831975479,0.006533838831975479,0.006533838831975479,0.05262234219410205,0.006533838831975479,0.006533838831975479,0.006533838831975479,0.006533838831975479,0.006533838831975479,0.004901960784313725,0.004310344827586207,0.05007194774894882,0.04763161366934952,0.04478390827804221,0.012432816638105623
clustering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.047619047619047616,0.047619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.03571428571428571,0.047619047619047616,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.06666666666666667,0.047619047619047616,0.047619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.0,0.0,0.0,0.0,0.0
degree,7.0,7.0,7.0,7.0,8.0,8.0,6.0,6.0,7.0,7.0,4.0,7.0,7.0,8.0,7.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,7.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,4.0,4.0,4.0,6.0
degree_centrality,0.008928571428571428,0.008928571428571428,0.008928571428571428,0.008928571428571428,0.01020408163265306,0.01020408163265306,0.007653061224489796,0.007653061224489796,0.008928571428571428,0.008928571428571428,0.00510204081632653,0.008928571428571428,0.008928571428571428,0.01020408163265306,0.008928571428571428,0.007653061224489796,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.007653061224489796,0.008928571428571428,0.008928571428571428,0.00510204081632653,0.008928571428571428,0.008928571428571428,0.008928571428571428,0.008928571428571428,0.008928571428571428,0.008928571428571428,0.0063775510204081625,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.007653061224489796
has_feedback_path,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
indegree,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
katz,0.03586890640377429,0.03586890640377429,0.03586890640377429,0.03586890640377429,0.03586890640377429,0.03586890640377429,0.03586890640377429,0.035874896323084035,0.035874896323084035,0.035874896323084035,0.03588290368049464,0.035874896323084035,0.035874896323084035,0.035874896323084035,0.035874896323084035,0.035874896323084035,0.03587218756018022,0.03587218756018022,0.03587218756018022,0.03587218756018022,0.03587218756018022,0.035880619379302474,0.03587218756018022,0.03587218756018022,0.03587218756018022,0.03587485912043575,0.03587485912043575,0.03587485912043575,0.03587485912043575,0.03587485912043575,0.03587485912043575,0.03587485912043575,0.035884363664739544,0.03587485912043575,0.03587551763660399,0.03587551763660399,0.03587551763660399,0.03587551763660399,0.03587551763660399,0.03587551763660399,0.03587551763660399,0.03587551763660399,0.03587551763660399,0.035884395301637305,0.03587551763660399,0.03587551763660399,0.03587551763660399,0.03587551763660399,0.03587551763660399,0.03587551763660399,0.03587551763660399,0.03587551763660399,0.03587551763660399,0.03587551763660399,0.035883995739335935,0.03587551763660399,0.03587551763660399,0.03587551763660399,0.03587551763660399,0.03587551763660399,0.03587511573082871,0.0358330278182374,0.035880734795392465,0.03588399954748103,0.03588391518242033,0.03586890640377429
load_centrality,0.00566160372194855,0.006192251804936534,0.006954625720019808,0.006270444001355332,0.005983128404618552,0.0063146307373524125,0.005658956590298955,0.010861384783798576,0.0060297586467537205,0.009503202622044987,0.00028996272838637373,0.011374826511064196,0.009740731781218235,0.008870538157791853,0.007380610290093049,0.008985586571793469,0.00014335236010112857,0.00015964240102171138,0.00017796869705736701,0.00017796869705736701,0.00017796869705736701,0.005005929574895093,0.00017796869705736701,0.00017348893580420674,0.00017796869705736701,0.0007314228373341674,0.0009171293038288112,0.0010474496311934736,0.0011451898767169703,0.0012494461386087002,0.0013390413636719055,0.0013781374618813042,0.005253538196887951,0.001446555633747752,0.0015133448015221414,0.0019271118409049444,0.0022203325774754344,0.0024402481299033024,0.0026748247191596946,0.0028784502306669793,0.0029664164516381266,0.0031162848281074884,0.0022138165611072015,0.004947285427580994,0.0028556441733781635,0.003311765319154482,0.0036538561784867202,0.004018753095107775,0.00433640889305914,0.004473245236792035,0.00470456381786431,0.003084519248312352,0.003960516198816691,0.004832440639090886,0.0046540646910105034,0.005396992369744833,0.005715666295253734,0.006038718169260041,0.006696835822451586,0.006478142023092762,0.0025196620793911436,0.005174938749446138,0.004375504991268538,0.004150702426564496,0.003924270857768395,0.006873582766439909
outdegree,5.0,5.0,5.0,5.0,6.0,6.0,4.0,4.0,5.0,5.0,2.0,5.0,5.0,6.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,4.0
pagerank,0.0011247154229019544,0.0011247154229019544,0.0011247154229019544,0.0011247154229019544,0.001103268659379022,0.0011032686593790218,0.0011605606463552757,0.0014393148840453722,0.0013889211149261266,0.0013889211149261266,0.0022011961689471517,0.0013889211149261266,0.0013889211149261266,0.0013572667236091255,0.0013889211149261266,0.001441113167219438,0.0012510197697509504,0.0012510197697509504,0.0012510197697509504,0.0012510197697509504,0.0012510197697509504,0.004273793557914688,0.0012510197697509504,0.0012510197697509504,0.0012534422739488567,0.0012296124136447215,0.0012296124136447215,0.0012296124136447215,0.0012296124136447215,0.0012296124136447215,0.0012296124136447215,0.0012296124136447215,0.007080533953734112,0.001231808153244194,0.0016758666837197965,0.0016758666837197963,0.0016758666837197965,0.0016758666837197963,0.0016758666837197963,0.0016758666837197965,0.0016758666837197963,0.0016766876762999614,0.0018426854785213458,0.005084119265711257,0.0018426854785213458,0.0018426854785213455,0.0018426854785213458,0.0018426854785213453,0.0018426854785213455,0.0018426854785213455,0.001843053064659793,0.0015627995952211637,0.001508036347585479,0.001508036347585479,0.004798893408867979,0.0015080363475854792,0.0015080363475854788,0.0015080363475854792,0.001508036347585479,0.0015081083717347038,0.00043317840943676053,0.0008105208957463626,0.004573621747591429,0.0047293681603831845,0.0043750448623971466,0.001158500510431916
