,DFFPOSX1_10_b09_reset,DFFPOSX1_11_b09_reset,DFFPOSX1_12_b09_reset,DFFPOSX1_13_b09_reset,DFFPOSX1_14_b09_reset,DFFPOSX1_15_b09_reset,DFFPOSX1_16_b09_reset,DFFPOSX1_17_b09_reset,DFFPOSX1_18_b09_reset,DFFPOSX1_19_b09_reset,DFFPOSX1_1_b09_reset,DFFPOSX1_20_b09_reset,DFFPOSX1_21_b09_reset,DFFPOSX1_22_b09_reset,DFFPOSX1_23_b09_reset,DFFPOSX1_24_b09_reset,DFFPOSX1_25_b09_reset,DFFPOSX1_26_b09_reset,DFFPOSX1_27_b09_reset,DFFPOSX1_28_b09_reset,DFFPOSX1_2_b09_reset,DFFPOSX1_3_b09_reset,DFFPOSX1_4_b09_reset,DFFPOSX1_5_b09_reset,DFFPOSX1_6_b09_reset,DFFPOSX1_7_b09_reset,DFFPOSX1_8_b09_reset,DFFPOSX1_9_b09_reset
average_neighbour_degree,1.0,1.0,1.0,1.0,1.3333333333333333,1.0,1.0,1.0,1.0,1.1666666666666667,0.5,2.8333333333333335,1.25,1.25,1.25,1.5,1.25,1.25,1.25,1.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0
betweenness_centrality,0.018111568154043342,0.01947254832661253,0.022315405043653296,0.023399480362057492,0.031503298657684746,0.02832527120955986,0.028101717601404633,0.02795252218148578,0.028779670531660154,0.023707860144862737,0.012358788637515277,0.2911748487287252,0.11830730175762814,0.06225584752366471,0.04877130678793919,0.039795629420506545,0.03020571190114248,0.026781615802898114,0.02645693080057742,0.02746664793074521,0.034140361858773734,0.010428775820441742,0.01706831798265224,0.021561745506572475,0.024311454886881873,0.02518331395868729,0.024266744165250827,0.02151703478494143
closeness_centrality,0.08229554423018548,0.06326734848299934,0.059860049421491424,0.0591362277839885,0.05829041761306137,0.05726658123812469,0.05602022952732931,0.05570120771908712,0.05526063319475535,0.061477888595045244,0.07942689749664601,0.0781240581107963,0.08254119894912824,0.07006541601340757,0.0623002043023675,0.05881618806657666,0.058117243466855005,0.05716617227043658,0.05598816299640353,0.054612686071868775,0.05412912050620751,0.08323506289308175,0.08944320989358324,0.0916887572119133,0.09212853773584906,0.09121149037879038,0.08900965822444158,0.08596183452078335
clustering,0.16666666666666666,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
degree,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,4.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
degree_centrality,0.018867924528301886,0.023584905660377357,0.023584905660377357,0.023584905660377357,0.023584905660377357,0.023584905660377357,0.023584905660377357,0.023584905660377357,0.023584905660377357,0.03773584905660377,0.018867924528301886,0.03773584905660377,0.02830188679245283,0.02830188679245283,0.02830188679245283,0.02830188679245283,0.02830188679245283,0.02830188679245283,0.02830188679245283,0.02830188679245283,0.02830188679245283,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886
has_feedback_path,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
indegree,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
katz,0.06859989380904821,0.06859162008737832,0.06859161840732114,0.06859161840732114,0.06859161840732114,0.06859161840732114,0.06859161840732114,0.06859161840732114,0.06859161840732114,0.06858968074135541,0.0685305494482946,0.06859218738669143,0.06859151648385127,0.06857349227023644,0.0685733125041165,0.0685733108240593,0.0685733108240593,0.0685733108240593,0.0685733108240593,0.0685733108240593,0.0685733108240593,0.06859234923220128,0.06859989380904821,0.06859989380904821,0.06859989380904821,0.06859989380904821,0.06859989380904821,0.06859989380904821
load_centrality,0.01807989805955468,0.01950784673164625,0.021793682375033534,0.022735401949387463,0.030727443440937138,0.02630387641956541,0.026080322811410175,0.025887507824376287,0.02671465617455066,0.023702271304658858,0.012351336850576768,0.29130711794688363,0.11829059733524099,0.06270958150764554,0.04934387016006438,0.040502324957524816,0.03213303675221318,0.028723844227845838,0.028519851560404184,0.029592908879549316,0.03419811320754717,0.010428775820441742,0.01706831798265224,0.021561745506572475,0.024311454886881873,0.02518331395868729,0.024266744165250827,0.02151703478494143
