,DFFPOSX1_10_completogpio,DFFPOSX1_11_completogpio,DFFPOSX1_12_completogpio,DFFPOSX1_13_completogpio,DFFPOSX1_14_completogpio,DFFPOSX1_15_completogpio,DFFPOSX1_16_completogpio,DFFPOSX1_17_completogpio,DFFPOSX1_18_completogpio,DFFPOSX1_19_completogpio,DFFPOSX1_1_completogpio,DFFPOSX1_20_completogpio,DFFPOSX1_21_completogpio,DFFPOSX1_22_completogpio,DFFPOSX1_23_completogpio,DFFPOSX1_24_completogpio,DFFPOSX1_25_completogpio,DFFPOSX1_26_completogpio,DFFPOSX1_27_completogpio,DFFPOSX1_28_completogpio,DFFPOSX1_29_completogpio,DFFPOSX1_2_completogpio,DFFPOSX1_30_completogpio,DFFPOSX1_31_completogpio,DFFPOSX1_32_completogpio,DFFPOSX1_33_completogpio,DFFPOSX1_34_completogpio,DFFPOSX1_35_completogpio,DFFPOSX1_36_completogpio,DFFPOSX1_37_completogpio,DFFPOSX1_38_completogpio,DFFPOSX1_39_completogpio,DFFPOSX1_3_completogpio,DFFPOSX1_40_completogpio,DFFPOSX1_41_completogpio,DFFPOSX1_42_completogpio,DFFPOSX1_43_completogpio,DFFPOSX1_44_completogpio,DFFPOSX1_45_completogpio,DFFPOSX1_46_completogpio,DFFPOSX1_47_completogpio,DFFPOSX1_48_completogpio,DFFPOSX1_49_completogpio,DFFPOSX1_4_completogpio,DFFPOSX1_50_completogpio,DFFPOSX1_51_completogpio,DFFPOSX1_5_completogpio,DFFPOSX1_6_completogpio,DFFPOSX1_7_completogpio,DFFPOSX1_8_completogpio,DFFPOSX1_9_completogpio
average_neighbour_degree,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.25,0.5,0.5,0.5,0.5,0.5,1.5714285714285714,1.6666666666666667,1.6,1.75,1.75,0.5,2.0,1.6666666666666667,1.5,2.0,1.3333333333333333,1.0,1.3333333333333333,1.5,1.0,1.0,0.5,1.3333333333333333,1.0,0.5,0.5,0.5,0.5,0.5
betweenness_centrality,0.000692765615892521,0.000692765615892521,0.0007023210036979351,0.0006832102280871069,0.000692765615892521,0.0006832102280871069,0.000692765615892521,0.0006736548402816928,0.0006832102280871069,0.000578100962227552,0.0002627731646488873,0.000578100962227552,0.0005733232683248449,0.0005733232683248449,0.0005733232683248449,0.0005733232683248449,0.000568545574422138,0.000568545574422138,0.0005733232683248449,0.0005733232683248449,0.000568545574422138,0.010480667857905015,0.000568545574422138,0.000568545574422138,0.000568545574422138,0.0005637678805194309,0.0005637678805194309,0.003629056660264557,0.003982606009064878,0.0033591169547616093,0.006195076427176797,0.006195076427176796,0.0007023210036979351,0.0061472994881497265,0.036440665819422284,0.007271650119920117,0.01296705939310547,0.005606623794826713,0.0028817457056494636,0.008408741268764394,0.0043930895435391245,0.005855063877767479,0.00912818234228036,0.0007118763915033491,0.020298032545650865,0.01813612605467593,0.000692765615892521,0.0007023210036979351,0.000692765615892521,0.0007023210036979351,0.0006832102280871069
closeness_centrality,0.029448148743768325,0.029438652839951607,0.02978062618324809,0.029105361750694718,0.029448148743768325,0.029105361750694718,0.029448148743768325,0.028772651062338377,0.029116279362640617,0.021199169995973863,0.020136596016615188,0.021199169995973863,0.021051166512987354,0.021051166512987354,0.021051166512987354,0.021051166512987354,0.020869708797211985,0.020869708797211985,0.021051166512987354,0.021051166512987354,0.020869708797211985,0.008086689309396732,0.020869708797211985,0.020869708797211985,0.020869708797211985,0.020688260689112056,0.020688260689112056,0.007368995633187773,0.007368995633187773,0.007368995633187773,0.007368995633187773,0.007368995633187773,0.02969103758086966,0.007368995633187773,0.01760475349178306,0.014105337660083062,0.014148605567015832,0.011021374945871354,0.010968954613191823,0.015048761549256644,0.012382403798247413,0.012267142060763729,0.011473744813052642,0.030031514920438228,0.015556308313143884,0.012550871877135134,0.029438652839951607,0.02978062618324809,0.029438652839951607,0.02978062618324809,0.029105361750694718
clustering,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
degree,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,9.0,11.0,7.0,6.0,6.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,6.0,4.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0
degree_centrality,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.006550218340611353,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.013100436681222707,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.01965065502183406,0.024017467248908297,0.015283842794759825,0.013100436681222707,0.013100436681222707,0.008733624454148471,0.010917030567685589,0.010917030567685589,0.008733624454148471,0.008733624454148471,0.010917030567685589,0.008733624454148471,0.010917030567685589,0.008733624454148471,0.008733624454148471,0.013100436681222707,0.008733624454148471,0.010917030567685589,0.013100436681222707,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471
has_feedback_path,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
indegree,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
katz,0.048245540804069065,0.0482415891422307,0.04824553213814398,0.048241597808155796,0.048245540804069065,0.048241597808155796,0.048245540804069065,0.04824160647408088,0.04824554946999415,0.048153366085817405,0.04823842253442383,0.048153366085817405,0.04815337041877995,0.04815337041877995,0.04815337041877995,0.04815337041877995,0.048153374751742486,0.048153374751742486,0.04815337041877995,0.04815337041877995,0.048153374751742486,0.04823866005955227,0.048153374751742486,0.048153374751742486,0.048153374751742486,0.04815337908470503,0.04815337908470503,0.04815230096484343,0.04815230096484343,0.04815230096484343,0.04815230096484343,0.04815230096484343,0.04824158047630562,0.04815230096484343,0.0482450543305473,0.04819234620465719,0.048243793438447556,0.0481440328845018,0.0481448640254985,0.04822381926894001,0.04814451108600416,0.048227633851599776,0.048144127815772035,0.0482455234722189,0.04824965396723854,0.048154580890951926,0.0482415891422307,0.04824553213814398,0.0482415891422307,0.04824553213814398,0.048241597808155796
load_centrality,0.000692765615892521,0.000692765615892521,0.0007023210036979351,0.0006832102280871069,0.000692765615892521,0.0006832102280871069,0.000692765615892521,0.0006736548402816928,0.0006832102280871069,0.000578100962227552,0.0002627731646488873,0.000578100962227552,0.0005733232683248449,0.0005733232683248449,0.0005733232683248449,0.0005733232683248449,0.000568545574422138,0.000568545574422138,0.0005733232683248449,0.0005733232683248449,0.000568545574422138,0.010479871575587895,0.000568545574422138,0.000568545574422138,0.000568545574422138,0.0005637678805194309,0.0005637678805194309,0.0036071588965438162,0.003960708245344138,0.00340291248220309,0.006141725511929902,0.006141725511929902,0.0007023210036979351,0.006239668236935396,0.036187448042578806,0.007271650119920117,0.012965466828471233,0.005606623794826713,0.0028833382702836995,0.008408741268764394,0.0043930895435391245,0.005855063877767479,0.009126589777646126,0.0007118763915033491,0.020298032545650865,0.01813851490162728,0.000692765615892521,0.0007023210036979351,0.000692765615892521,0.0007023210036979351,0.0006832102280871069
outdegree,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,7.0,9.0,5.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0
pagerank,0.004423356062875376,0.0039306445580100146,0.004398493457553045,0.003928673248545605,0.004396522148088635,0.003921616963227063,0.004389465862770094,0.0039196456537626545,0.004387494553305685,0.0034079273852397106,0.009548348995674243,0.0034079273852397106,0.0034201451675778113,0.0034201451675778113,0.0034201451675778113,0.0034201451675778113,0.003432362949915913,0.003432362949915913,0.0033895670981000815,0.0033895670981000815,0.003401784880438182,0.003722748704911555,0.003401784880438182,0.003401784880438182,0.003401784880438182,0.003414002662776283,0.003414002662776283,0.002655844122834627,0.0026091446703991814,0.0027442899361522395,0.0028267128893407064,0.0028267128893407073,0.003966506067579705,0.002975818222953253,0.005659985110632725,0.0019476247260024606,0.004030556644233539,0.0016107928618794493,0.0017654648045708691,0.002795355656822234,0.0017001319010415744,0.0021262382648643417,0.0018995918159535317,0.004434354967122735,0.004668632489046664,0.004317686803605738,0.003964534758115296,0.004432383657658327,0.003957478472796754,0.004425327372339785,0.0039555071633323455
xx_good_SN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx_state_ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
