,DFFPOSX1_1,DFFPOSX1_2,DFFPOSX1_3,DFFPOSX1_4,DFFPOSX1_5,DFFPOSX1_6,DFFPOSX1_7,DFFPOSX1_8,DFFPOSX1_9,DFFPOSX1_10,DFFPOSX1_11,DFFPOSX1_12,DFFPOSX1_13,DFFPOSX1_14,DFFPOSX1_15,DFFPOSX1_16,DFFPOSX1_17,DFFPOSX1_18,DFFPOSX1_19,DFFPOSX1_20,DFFPOSX1_21,DFFPOSX1_22,DFFPOSX1_23,DFFPOSX1_24,DFFPOSX1_25,DFFPOSX1_26,DFFPOSX1_27,DFFPOSX1_28,DFFPOSX1_29,DFFPOSX1_30,DFFPOSX1_31,DFFPOSX1_32,DFFPOSX1_33,DFFPOSX1_34,DFFPOSX1_35,DFFPOSX1_36,DFFPOSX1_37,DFFPOSX1_38,DFFPOSX1_39,DFFPOSX1_40,DFFPOSX1_41,DFFPOSX1_42,DFFPOSX1_43,DFFPOSX1_44,DFFPOSX1_45,DFFPOSX1_46,DFFPOSX1_47,DFFPOSX1_48,DFFPOSX1_49,DFFPOSX1_50,DFFPOSX1_51,DFFPOSX1_52,DFFPOSX1_53,DFFPOSX1_54,DFFPOSX1_55,DFFPOSX1_56,DFFPOSX1_57,DFFPOSX1_58,DFFPOSX1_59,DFFPOSX1_60,DFFPOSX1_61,DFFPOSX1_62,DFFPOSX1_63,DFFPOSX1_64
average_neighbour_degree,1.6666666666666667,1.3333333333333333,2.333333333333333,2.0,1.6666666666666667,1.5,2.5,2.0,1.5,1.3333333333333333,1.5,1.3333333333333333,1.0,2.0,2.0,1.6666666666666667,1.5,1.5,2.0,1.0,2.25,2.0,2.0,3.0,2.0,1.5,2.0,1.5,1.5,1.6666666666666667,1.25,1.25,1.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.5,2.0,1.25,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,1.5,1.25,1.5,1.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,2.0
betweenness_centrality,0.010467808888891691,0.006238949563714427,0.012717835711230772,0.005048478622228291,0.0061327257522380135,0.005059648473037303,0.012786135569655046,0.003252484189517095,0.007814654382350291,0.0028720111463353282,0.004457725788980942,0.007855528267806007,0.004035292319404822,0.007657777816970237,0.004356425530163741,0.005343708067130804,0.004217720968308488,0.005237557741514957,0.0038572728221362954,0.004915322242847254,0.04478786836624764,0.04227762811157506,0.022041091823522225,0.010201454138209264,0.011194395086441416,0.010080974069779236,0.007863721941261278,0.005557845864877139,0.005114652639685598,0.008775461013546414,0.009683709507453672,0.009899721194644941,0.0065766170931051155,0.0008686028721213751,0.0021274156639520987,0.002533057614384416,0.0027535151961411105,0.0027887884092221817,0.002638877253627629,0.0023037817293574537,0.0018143658978575933,0.0017030348190704627,0.004110064182550635,0.05248617363533077,0.004323908036854627,0.004567881093998704,0.007578229372886362,0.010220486976100932,0.007555007840941322,0.002485659234306727,0.006764740896204134,0.008902812009941167,0.008627240032745299,0.00321794583504188,0.00205650180848703,0.002644021263868619,0.0030386403352131003,0.0031554828535441484,0.0029945488188617628,0.002560247382801077,0.001899976925439777,0.0006499824368793202,0.004186526220489916,0.007774993013594258
closeness_centrality,0.03491010647582475,0.03093147029650908,0.034809999288328904,0.031702553957746835,0.03145610300825198,0.031627465009481215,0.035876184113387874,0.03200650941275879,0.035646331358790626,0.02118201903530052,0.02853510375765568,0.02886555114449502,0.02623003966581164,0.028306365450981093,0.02624628620632932,0.026853377110341376,0.026467600924496373,0.029223882124219787,0.02741807122621721,0.028315822973684387,0.04248525525613416,0.03937810594810666,0.042083566741263685,0.037603817873846715,0.035335050878547145,0.04154671974798683,0.038930366551029064,0.039599987328004065,0.039658793367992176,0.03825011666285582,0.036907450876182885,0.0380430647492962,0.03879464185648741,0.03929792519853107,0.03985302353254875,0.04019940480881239,0.04029986336000357,0.04012203244866346,0.039641976019699286,0.0388686260452466,0.03786537389131081,0.03663053020408253,0.02598873295315467,0.034076903160529706,0.027137130374715775,0.02875780731599504,0.03538591154915965,0.035895492655754924,0.029013782321204176,0.03033259060853163,0.03033259060853163,0.03114636463073774,0.03076198118338925,0.026393415808233383,0.035659431082014734,0.035437465464713165,0.03499087158474947,0.03429532171870548,0.03333390403706811,0.03212038468861305,0.03056228232734935,0.028660721678666408,0.025828076841398387,0.03474659309654689
clustering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06666666666666668,0.06666666666666668,0.16666666666666666,0.16666666666666666,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666668,0.06666666666666668,0.16666666666666666,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.047619047619047616,0.0
degree,5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,6.0,7.0,6.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,7.0,5.0
degree_centrality,0.007418397626112759,0.007418397626112759,0.007418397626112759,0.005934718100890208,0.007418397626112759,0.005934718100890208,0.005934718100890208,0.004451038575667656,0.005934718100890208,0.007418397626112759,0.005934718100890208,0.007418397626112759,0.005934718100890208,0.005934718100890208,0.004451038575667656,0.007418397626112759,0.005934718100890208,0.005934718100890208,0.004451038575667656,0.005934718100890208,0.008902077151335312,0.010385756676557865,0.008902077151335312,0.004451038575667656,0.005934718100890208,0.005934718100890208,0.005934718100890208,0.005934718100890208,0.005934718100890208,0.007418397626112759,0.008902077151335312,0.008902077151335312,0.005934718100890208,0.005934718100890208,0.007418397626112759,0.007418397626112759,0.007418397626112759,0.007418397626112759,0.007418397626112759,0.007418397626112759,0.007418397626112759,0.007418397626112759,0.005934718100890208,0.007418397626112759,0.008902077151335312,0.007418397626112759,0.007418397626112759,0.007418397626112759,0.007418397626112759,0.007418397626112759,0.008902077151335312,0.008902077151335312,0.005934718100890208,0.007418397626112759,0.007418397626112759,0.007418397626112759,0.007418397626112759,0.007418397626112759,0.007418397626112759,0.007418397626112759,0.007418397626112759,0.005934718100890208,0.010385756676557865,0.007418397626112759
has_feedback_path,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
indegree,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
katz,0.038951276428371005,0.03891142860566293,0.038947355083363326,0.03887228256761528,0.03887227875184005,0.038872248225638235,0.038939919409372144,0.03887185074905215,0.03893991559359692,0.03887113592715974,0.03895051613515713,0.038946986225091434,0.03891146453754632,0.038951957544248905,0.03887156869966667,0.03891086132707928,0.03887192293080019,0.038951343840399985,0.03887192165887511,0.03891169284809737,0.038952016052802366,0.03894844957489076,0.03895149519948397,0.03891192815423633,0.03893978744714556,0.03894851348912581,0.03893943130812443,0.038911932287992834,0.038911932287992834,0.03894380609442151,0.0389473512675881,0.03895092696695651,0.03894741836163583,0.038911693166078634,0.038911693166078634,0.038911693166078634,0.038911693166078634,0.038911693166078634,0.038911693166078634,0.038911693166078634,0.03891162225625568,0.038951548620337145,0.03893614942344846,0.03895074476368945,0.03887160399558751,0.0389076939156601,0.038946623090482385,0.03895165895983744,0.03891082666712097,0.0389076939156601,0.038947705816702885,0.03895125257977583,0.038950955267289436,0.03893593160627929,0.038951269114801804,0.038951269114801804,0.038951269114801804,0.038951269114801804,0.038951269114801804,0.038951269114801804,0.038951191527372205,0.03894272909186385,0.03887145390842861,0.038951236998693656
load_centrality,0.010297573643855184,0.006258239602118156,0.013001210312123843,0.005105522021507842,0.006178048156754159,0.0050209214245087105,0.01283338697801156,0.003254229478706002,0.007819630424909943,0.002925472109911332,0.004457376731143161,0.0077755389085586045,0.003968512043597691,0.0076564918144099905,0.00443670883285347,0.0053576703806420605,0.004221211546686302,0.005206656937138725,0.0038883205982336937,0.004915652929219889,0.044740212785657915,0.0422869332586717,0.02196625566024841,0.010258166851116177,0.011215228327917423,0.010031095541906782,0.007903404305977487,0.0054976609450575606,0.005108553313256996,0.00886019021080154,0.009676985551210092,0.01014049761685354,0.00633402189584702,0.0008686028721213751,0.0021274156639520987,0.002533057614384416,0.0027535151961411105,0.0027887884092221817,0.002638877253627629,0.0023037817293574537,0.0018143658978575933,0.0017030348190704627,0.004110982755807954,0.05275549931437692,0.0043226220342943815,0.0045695345258618784,0.007631690336462362,0.010206634891380548,0.007558388190528259,0.002485659234306727,0.006420275924709327,0.009088914951874107,0.008697051600301584,0.0031966349354720647,0.002027107464252803,0.002614626919634393,0.003009245990978876,0.0031260885093099236,0.002965154474627537,0.002530853038566849,0.0018705825812055505,0.0006497987222278561,0.0042057795159633335,0.007606888858514732
