,DFFPOSX1_1,DFFPOSX1_2,DFFPOSX1_3,DFFPOSX1_4,DFFPOSX1_5,DFFPOSX1_6,DFFPOSX1_7,DFFPOSX1_8,DFFPOSX1_9,DFFPOSX1_10,DFFPOSX1_11,DFFPOSX1_12,DFFPOSX1_13,DFFPOSX1_14,DFFPOSX1_15,DFFPOSX1_16,DFFPOSX1_17,DFFPOSX1_18,DFFPOSX1_19,DFFPOSX1_20,DFFPOSX1_21,DFFPOSX1_22,DFFPOSX1_23,DFFPOSX1_24,DFFPOSX1_25,DFFPOSX1_26,DFFPOSX1_27,DFFPOSX1_28
average_neighbour_degree,0.5,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3333333333333333,1.0,1.0,1.0,1.0,1.1666666666666667,2.833333333333333,1.25,1.25,1.25,1.5,1.25,1.25,1.25,1.25
betweenness_centrality,0.012358788637515276,0.034140361858773734,0.010428775820441742,0.01706831798265224,0.021561745506572475,0.024311454886881877,0.02518331395868729,0.024266744165250827,0.021517034784941432,0.018111568154043342,0.01947254832661253,0.022315405043653296,0.02339948036205749,0.031503298657684746,0.02832527120955986,0.028101717601404636,0.027952522181485782,0.028779670531660157,0.023707860144862737,0.2911748487287252,0.11830730175762814,0.06225584752366471,0.048771306787939187,0.03979562942050655,0.03020571190114248,0.026781615802898114,0.02645693080057742,0.02746664793074521
closeness_centrality,0.07942689749664601,0.05412912050620751,0.08323506289308175,0.08944320989358323,0.0916887572119133,0.09212853773584906,0.09121149037879038,0.08900965822444158,0.08596183452078335,0.08229554423018548,0.06326734848299934,0.059860049421491424,0.0591362277839885,0.05829041761306138,0.05726658123812469,0.05602022952732931,0.05570120771908712,0.05526063319475535,0.06147788859504525,0.0781240581107963,0.08254119894912824,0.07006541601340757,0.0623002043023675,0.05881618806657666,0.05811724346685501,0.05716617227043658,0.05598816299640353,0.054612686071868775
clustering,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
degree,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
degree_centrality,0.018867924528301886,0.02830188679245283,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.02358490566037736,0.02358490566037736,0.02358490566037736,0.02358490566037736,0.02358490566037736,0.02358490566037736,0.02358490566037736,0.02358490566037736,0.03773584905660377,0.03773584905660377,0.02830188679245283,0.02830188679245283,0.02830188679245283,0.02830188679245283,0.02830188679245283,0.02830188679245283,0.02830188679245283,0.02830188679245283
has_feedback_path,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
indegree,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
katz,0.0685305494482946,0.0685733108240593,0.06859234923220127,0.06859989380904821,0.06859989380904821,0.06859989380904821,0.06859989380904821,0.06859989380904821,0.06859989380904821,0.06859989380904821,0.06859162008737832,0.06859161840732114,0.06859161840732114,0.06859161840732114,0.06859161840732114,0.06859161840732114,0.06859161840732114,0.06859161840732114,0.06858968074135541,0.06859218738669143,0.06859151648385127,0.06857349227023644,0.0685733125041165,0.0685733108240593,0.0685733108240593,0.0685733108240593,0.0685733108240593,0.0685733108240593
load_centrality,0.012351336850576768,0.03419811320754717,0.010428775820441742,0.01706831798265224,0.021561745506572475,0.024311454886881877,0.02518331395868729,0.024266744165250827,0.021517034784941432,0.01807989805955468,0.01950784673164625,0.02179368237503353,0.022735401949387463,0.030727443440937138,0.02630387641956541,0.02608032281141017,0.025887507824376287,0.02671465617455066,0.023702271304658858,0.29130711794688363,0.118290597335241,0.06270958150764554,0.04934387016006438,0.040502324957524816,0.032133036752213184,0.028723844227845838,0.02851985156040418,0.02959290887954932
outdegree,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
pagerank,0.013607999097135434,0.0018206896390890691,0.007216858510942995,0.010760747436932335,0.011859139105770316,0.01219524242264313,0.012290048610857205,0.012301547375386086,0.012302649517179885,0.012302580699502031,0.00416794718719653,0.003911230949181249,0.0038648353679772954,0.003856437150672272,0.0038549016302288296,0.003854625637023381,0.0038545748732831796,0.00385456526211192,0.002349464514938505,0.011073591075886523,0.0056334728797831175,0.002509548445717488,0.0019451727373645425,0.0018431903607978738,0.0018247581369999074,0.0018214266939579125,0.0018208191118932488,0.0018207097065088074
xx_good_SN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xx_state_ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
