,DFFPOSX1_1,DFFPOSX1_2,DFFPOSX1_3,DFFPOSX1_4,DFFPOSX1_5,DFFPOSX1_6,DFFPOSX1_7,DFFPOSX1_8,DFFPOSX1_9,DFFPOSX1_10,DFFPOSX1_11,DFFPOSX1_12,DFFPOSX1_13,DFFPOSX1_14,DFFPOSX1_15,DFFPOSX1_16,DFFPOSX1_17
average_neighbour_degree,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.8888888888888888,2.2857142857142856,2.0,3.0,1.0,1.5,1.0,1.0,1.5,1.0
betweenness_centrality,0.0035718400737412147,0.0033125936167761267,0.004473201597726312,0.00393310481238238,0.00393310481238238,0.003845489111648808,0.0948380921289666,0.08395000384068821,0.1944296532224288,0.12386959171654985,0.2280459629794231,0.01915447248146868,0.09121530578279634,0.10424001695389534,0.02646234205169566,0.08843304720205862,0.02611668010907555
closeness_centrality,0.05970968394748882,0.05933942090966885,0.06392889541224556,0.06093639181167235,0.06105384068763445,0.061112735067718985,0.06026620405595968,0.07120852512466437,0.07347557204700061,0.06173359105457873,0.07544641723183215,0.06118801886986796,0.06069290341036801,0.07282166323428459,0.05236042801487829,0.06057037399567682,0.05236042801487829
clustering,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.01818181818181818,0.027777777777777776,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666
degree,4.0,4.0,4.0,4.0,4.0,4.0,6.0,11.0,9.0,14.0,10.0,4.0,6.0,5.0,4.0,6.0,4.0
degree_centrality,0.015151515151515154,0.015151515151515154,0.015151515151515154,0.015151515151515154,0.015151515151515154,0.015151515151515154,0.022727272727272728,0.04166666666666667,0.03409090909090909,0.05303030303030303,0.03787878787878788,0.015151515151515154,0.022727272727272728,0.01893939393939394,0.015151515151515154,0.022727272727272728,0.015151515151515154
has_feedback_path,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
indegree,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
katz,0.062364604211145064,0.06235885617429592,0.062352507368316386,0.062352507368316386,0.062352507368316386,0.062352507368316386,0.062353704324439714,0.06235883835487256,0.06236505478799284,0.06236750215850957,0.0623600485482818,0.06235236023079209,0.06235350067388705,0.06235355973254731,0.06235138219901287,0.06235350067388705,0.06235138219901287
load_centrality,0.0035718400737412147,0.0033125936167761267,0.0044071897684065,0.003924703306832584,0.003924703306832584,0.003845489111648808,0.09444852517571148,0.08507784594999424,0.1939388538426086,0.12273789463071785,0.22894162633944004,0.01906181587740523,0.09192807351077313,0.10391822214540848,0.026479145062795254,0.0882698179513769,0.026133483120175136
outdegree,2.0,2.0,2.0,2.0,2.0,2.0,4.0,9.0,7.0,12.0,8.0,2.0,4.0,3.0,2.0,4.0,2.0
pagerank,0.011930540857101496,0.005139658832800641,0.007423855401274745,0.005748877242185339,0.005792074551034258,0.006340360431003162,0.012125996127087459,0.0089851487279396,0.008125309973258216,0.007852106002833445,0.009324807966675943,0.005176963681861487,0.009205249905401268,0.013462291937747643,0.00474609564465631,0.008975552267568613,0.00474609564465631
xx_good_SN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx_state_ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
similarity_score,0.0,0.0,0.4117647058823529,0.35294117647058826,0.4117647058823529,0.35294117647058826,0.4117647058823529,0.35294117647058826,0.4117647058823529,0.35294117647058826,0.4117647058823529,0.35294117647058826,0.4117647058823529,0.35294117647058826,0.4117647058823529,0.35294117647058826,0.4117647058823529
