,DFFPOSX1_1_b02_reset,DFFPOSX1_2_b02_reset,DFFPOSX1_3_b02_reset,DFFPOSX1_4_b02_reset
average_neighbour_degree,0.0,1.4,1.6666666666666667,1.75
betweenness_centrality,0.02702702702702703,0.2782157157157157,0.23010510510510515,0.2529404404404404
closeness_centrality,0.17426381605486083,0.1618460565828987,0.1774081774081774,0.15548132402064987
clustering,0.0,0.0,0.0,0.0
degree,3.0,7.0,5.0,6.0
degree_centrality,0.08108108108108109,0.1891891891891892,0.13513513513513514,0.16216216216216217
has_feedback_path,0.0,1.0,1.0,1.0
indegree,2.0,2.0,2.0,2.0
katz,0.16604034762905984,0.16590828621136067,0.1660859804092343,0.16606909253795496
load_centrality,0.02702702702702703,0.27646396396396394,0.23066816816816815,0.2541291291291291
outdegree,1.0,5.0,3.0,4.0
pagerank,0.031457447236602654,0.059647519634806266,0.05884886526653042,0.040392304781962485
xx_good_SN,0.0,0.0,0.0,0.0
xx_state_ff,0.0,1.0,1.0,1.0
