	Original	With fastRELIC	With Euclidean	With Euclidean and fastRELIC
"average neighbour degree"	0.569230769230769	0.492307692307692	0.769230769230769	0.615384615384615
"betweenness centrality"	0.461538461538462	0.384615384615385	0.4	0.492307692307692
"closeness centrality"	0.415384615384615	0.369230769230769	0.430769230769231	0.553846153846154
clustering	0.4	0.230769230769231	0.523076923076923	0.353846153846154
degree	0.323076923076923	0.246153846153846	0.492307692307692	0.307692307692308
"degree centrality"	0.446153846153846	0.461538461538462	0.553846153846154	0.492307692307692
"has feedback path"	0.323076923076923	0.261538461538462	0.507692307692308	0.384615384615385
katz	0.492307692307692	0.415384615384615	0.676923076923077	0.569230769230769
"load centrality"	0.492307692307692	0.369230769230769	0.369230769230769	0.461538461538462
outdegree	0.323076923076923	0.246153846153846	0.492307692307692	0.292307692307692
pagerank	0.476923076923077	0.384615384615385	0.384615384615385	0.461538461538462
euclidean	0	0	0.938461538461538	0.384615384615385
fastRELIC	0	0.8	0	0.692307692307692

