	Original	With fastRELIC	With Euclidean	With fastRELIC and Euclidean
"average neighbour degree"	0.569230769230769	0.492307692307692	0.769230769230769	0.615384615384615
"betweenness centrality"	0.261538461538462	0.276923076923077	0.307692307692308	0.353846153846154
"closeness centrality"	0.4	0.369230769230769	0.430769230769231	0.507692307692308
clustering	0.323076923076923	0.184615384615385	0.461538461538462	0.261538461538462
degree	0.169230769230769	0.153846153846154	0.4	0.2
"degree centrality"	0.323076923076923	0.446153846153846	0.323076923076923	0.384615384615385
"has feedback path"	0.107692307692308	0.123076923076923	0.2	0.184615384615385
katz	0.476923076923077	0.4	0.646153846153846	0.569230769230769
"load centrality"	0.307692307692308	0.261538461538462	0.169230769230769	0.353846153846154
outdegree	0.169230769230769	0.184615384615385	0.307692307692308	0.153846153846154
pagerank	0.430769230769231	0.323076923076923	0.276923076923077	0.369230769230769
euclidean	0	0	0.938461538461538	0.323076923076923
fastRELIC	0	0.769230769230769	0	0.523076923076923

