	Original	"With fastRELIC"	"With Euclidean"	"With Euclidean and fastRELIC" 
"average neighbour degree"	1.146326558	1.03130198960077	1.151496202	1.03557532718505
"betweenness centrality"	1.01910146	0.990435555640137	1.100919299	1.03111368719862
"closeness centrality"	0.981314419	0.980148964544436	1.12985241	1.0370600178241
clustering	0.989867842	0.958204484563125	1.156866385	0.990358511229983
degree	1.024594408	0.969661740573681	1.108114692	0.999747434338755
"degree centrality"	1.041367348	1.01781509667488	1.136595918	1.04926415495739
"has feedback path"	1.025238683	0.977952368191459	1.105952836	1.00446463349921
katz	1.188699154	1.00321709622397	1.162738397	1.07076084876428
"load centrality"	1.013393519	0.993090613239579	1.103918312	1.02974696178836
outdegree	1.023902935	0.971949757248648	1.09938037	0.998871934719038
pagerank	0.995206762	0.981540359898822	1.080462079	1.02120260205585
Euclidean	0	0	1.198164467	0.996739366029109
fastRELIC	0	1.12149283768498	0	1.05657252270717

