	Original	"With fastRELIC"	"With Euclidean"	"With fastRELIC and Euclidean"
"average neighbour degree"	0.292307692307692	0.538461538461538	0.769230769230769	0.6
"betweenness centrality"	0.323076923076923	0.630769230769231	0.707692307692308	0.646153846153846
"closeness centrality"	0.076923076923077	0.784615384615385	0.784615384615385	0.846153846153846
clustering	0.261538461538462	0.492307692307692	0.784615384615385	0.507692307692308
degree	0.184615384615385	0.492307692307692	0.769230769230769	0.538461538461538
"degree centrality"	0.230769230769231	0.630769230769231	0.846153846153846	0.646153846153846
"has feedback path"	0.153846153846154	0.492307692307692	0.784615384615385	0.507692307692308
katz	0.230769230769231	0.738461538461539	0.723076923076923	0.707692307692308
"load centrality"	0.4	0.615384615384615	0.707692307692308	0.646153846153846
outdegree	0.184615384615385	0.523076923076923	0.753846153846154	0.538461538461538
pagerank	0.323076923076923	0.615384615384615	0.707692307692308	0.584615384615385
euclidean	0	0	0.784615384615385	0.615384615384615
fastRELIC	0	0.569230769230769	0	0.646153846153846

