	Original	"With fastRELIC"	"With Euclidean"	"With fastRELIC and Euclidean"
"average neighbour degree"	2.40012221452974	1.32666753048443	1.62795646912515	1.03557532718505
"betweenness centrality"	0.866965233038153	1.23153577706309	1.37429793811922	1.03111368719862
"closeness centrality"	0.768565165394102	1.13910783113303	1.645588649808	1.0370600178241
clustering	0.925492815094476	1.1001863669446	1.7365205365083	0.990358511229983
degree	0.847080832331766	1.20866240792424	1.36597498556315	0.999747434338755
"degree centrality"	0.82753044372164	1.20263917102056	1.47139767330428	1.04926415495739
"has feedback path"	0.814154074655415	1.14724518382721	1.30837884521526	1.00446463349921
katz	0.916743666292626	1.11055893307382	1.53576665577908	1.07076084876428
"load centrality"	0.876028249526824	1.26898672563941	1.33401980020438	1.02974696178836
outdegree	0.873122750600755	1.22792542585446	1.33490324040939	0.998871934719038
pagerank	0.880391247004807	1.20098533565166	1.41158794237107	1.02120260205585
euclidean	0	0	1.55694412383751	0.996739366029109
fastRELIC	0	1.44751003437763	0	1.05657252270717

