	Original	With fastRELIC	With Euclidean	With Euclidean and fastRelic
"average neighbour degree"	1	0.984615384615385	0.969230769230769	1
"betweenness centrality"	0.769230769230769	0.646153846153846	0.584615384615385	0.661538461538462
"closeness centrality"	0.969230769230769	0.861538461538462	0.892307692307692	0.784615384615385
clustering	0.815384615384615	0.815384615384615	0.830769230769231	0.784615384615385
degree	0.630769230769231	0.692307692307692	0.707692307692308	0.692307692307692
"degree centrality"	0.8	0.830769230769231	0.692307692307692	0.692307692307692
"has feedback path"	0.415384615384615	0.276923076923077	0.461538461538462	0.323076923076923
katz	0.907692307692308	0.861538461538462	0.892307692307692	0.830769230769231
"load centrality"	0.461538461538462	0.369230769230769	0.615384615384615	0.6
outdegree	0.630769230769231	0.615384615384615	0.723076923076923	0.723076923076923
pagerank	0.907692307692308	0.861538461538462	0.661538461538462	0.723076923076923
euclidean	0	0	1	0.923076923076923
fastRELIC	0	0.892307692307692	0	0.538461538461538

