round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neurons,last_activation,loss,optimizer
24,0.2501125871249945,0.8888889,0.3593049173452416,0.9959184,elu,32,0.0,24,65,35,217,sigmoid,sparse_categorical_crossentropy,adam
5,0.05740252809703547,0.98129815,0.26431723638456694,0.85714287,relu,32,0.0,5,35,5,147,sigmoid,binary_crossentropy,adam
1,0.4648625584087684,0.86248624,2.1237149457542266,0.6,elu,10,0.5,1,20,5,357,sigmoid,binary_crossentropy,adam
5,0.08828766139918821,0.9724972,0.7034616383971001,0.67346936,elu,32,0.0,5,50,5,77,sigmoid,binary_crossentropy,RMSprop
5,0.4443822810047268,0.85588557,0.3620598030333616,0.9959184,elu,10,0.5,5,20,15,147,sigmoid,binary_crossentropy,adam
5,0.35414756885094506,0.8888889,0.30203506228875143,0.9959184,relu,10,0.25,5,50,35,77,sigmoid,binary_crossentropy,adam
1,1.1228753289595095,0.8690869,0.04312010803758832,0.9959184,elu,10,0.5,1,65,35,427,sigmoid,sparse_categorical_crossentropy,adam
24,0.06762122435946542,0.9757976,1.1222753001719106,0.6612245,elu,10,0.0,24,20,5,147,sigmoid,sparse_categorical_crossentropy,adam
24,0.41538979662264663,0.8888889,0.4427481854448513,0.9959184,elu,32,0.5,24,20,35,217,sigmoid,sparse_categorical_crossentropy,RMSprop
5,0.3132087811416321,0.8888889,0.6850210306595783,0.9959184,elu,10,0.0,5,35,5,357,sigmoid,sparse_categorical_crossentropy,adam
10,1.7913310201501589,0.8888889,0.049227862939933774,0.9959184,elu,10,0.5,10,35,35,287,sigmoid,sparse_categorical_crossentropy,RMSprop
24,0.03563908246950953,0.98789877,6.025608308413729,0.7387755,relu,10,0.0,24,35,15,147,sigmoid,binary_crossentropy,RMSprop
24,0.28756342776846006,0.8822882,0.1684245455021761,0.9959184,elu,10,0.25,24,35,35,147,sigmoid,binary_crossentropy,RMSprop
24,0.6921145833036949,0.850385,0.2710165984776555,0.9959184,elu,32,0.0,24,65,35,357,sigmoid,binary_crossentropy,RMSprop
10,0.10083770551447263,0.9691969,0.750266803527365,0.71020406,relu,32,0.0,10,50,35,287,sigmoid,binary_crossentropy,RMSprop
5,0.7395780357328317,0.8272827,0.5035848892464929,0.9959184,elu,32,0.5,5,50,35,427,sigmoid,binary_crossentropy,RMSprop
24,0.2484985617521179,0.919692,0.29563805825856265,0.6897959,relu,32,0.25,24,35,35,287,sigmoid,sparse_categorical_crossentropy,RMSprop
24,0.04489928408043318,0.9856986,0.6668945222484822,0.75918365,relu,32,0.0,24,20,15,7,sigmoid,binary_crossentropy,adam
5,0.23750570151807354,0.87348735,0.2947798845719318,0.94693875,elu,10,0.0,5,35,15,287,sigmoid,binary_crossentropy,adam
24,0.6931471833170313,0.8888889,0.6931471824645996,0.9959184,elu,32,0.25,24,20,35,427,sigmoid,sparse_categorical_crossentropy,adam
5,0.27186060587827393,0.87238723,0.2787820151873997,0.9959184,elu,32,0.25,5,65,35,77,sigmoid,binary_crossentropy,RMSprop
5,0.0905880481004715,0.97359735,0.66232934630647,0.6530612,elu,32,0.0,5,50,15,77,sigmoid,binary_crossentropy,adam
10,0.6950144104175966,0.8877888,0.6931471824645996,0.9959184,elu,10,0.25,10,65,35,217,sigmoid,sparse_categorical_crossentropy,RMSprop
5,0.1807412868089015,0.9229923,0.4359714712415423,0.60816324,elu,32,0.25,5,65,15,77,sigmoid,sparse_categorical_crossentropy,RMSprop
