round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neurons,last_activation,loss,optimizer
5,0.05771624635939204,0.9825688,0.6531435251235962,0.78125,relu,32,0.0,5,65,5,287,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.6482115901938272,0.9091743,0.7541585527360439,0.265625,relu,10,0.25,1,65,5,7,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.2807955041527748,0.89541286,0.8217590153217316,0.53125,elu,32,0.25,1,50,5,147,sigmoid,binary_crossentropy,adam
10,0.24079349305514897,0.94862384,2.265737757086754,0.265625,elu,10,0.5,10,65,15,7,sigmoid,binary_crossentropy,adam
24,0.1214932825911662,0.96605504,5.394129194319248,0.28125,elu,10,0.0,24,50,5,357,sigmoid,sparse_categorical_crossentropy,RMSprop
5,0.7882260415574697,0.9495413,1.6091925539076328,0.265625,relu,10,0.5,5,35,35,77,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.7235090772089965,0.940367,5.027008533477783,0.265625,relu,10,0.5,1,50,15,217,sigmoid,sparse_categorical_crossentropy,adam
10,0.8139379921024343,0.9495413,11.836726278066635,0.265625,elu,10,0.5,10,50,15,427,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.5141182001577604,0.90733945,1.0747150778770447,0.265625,elu,32,0.0,1,20,15,7,sigmoid,sparse_categorical_crossentropy,adam
24,0.06007840686067408,0.98348624,4.3155763149261475,0.625,relu,32,0.0,24,65,15,147,sigmoid,sparse_categorical_crossentropy,adam
5,0.2663023748816901,0.9477064,0.6910560429096222,0.265625,relu,32,0.5,5,35,15,287,sigmoid,binary_crossentropy,RMSprop
24,0.029064312810792508,0.99174315,1.7525227069854736,0.71875,relu,32,0.0,24,50,15,77,sigmoid,sparse_categorical_crossentropy,RMSprop
10,0.13103169154828637,0.9605505,1.5782591104507446,0.328125,elu,32,0.25,10,20,5,357,sigmoid,binary_crossentropy,RMSprop
1,0.259858637969872,0.91284406,1.6616957820951939,0.265625,elu,10,0.25,1,50,15,217,sigmoid,sparse_categorical_crossentropy,RMSprop
24,0.03856661639933751,0.9825688,2.235663065686822,0.640625,elu,10,0.0,24,65,5,77,sigmoid,sparse_categorical_crossentropy,adam
10,0.1306557561006021,0.9495413,0.6956929564476013,0.265625,relu,32,0.5,10,35,15,287,sigmoid,sparse_categorical_crossentropy,adam
10,0.08382828288140777,0.9770642,1.004721412435174,0.75,relu,10,0.0,10,35,15,287,sigmoid,binary_crossentropy,adam
5,0.3232326757231163,0.92752296,1.0858550257980824,0.265625,elu,10,0.5,5,50,15,357,sigmoid,binary_crossentropy,adam
1,0.7894879889479771,0.9495413,11.836726576089859,0.265625,relu,10,0.0,1,50,15,287,sigmoid,sparse_categorical_crossentropy,adam
10,0.04532114560662453,0.98440367,1.0111930966377258,0.703125,relu,32,0.0,10,35,5,77,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.5864000952025072,0.94587153,0.8972913194447756,0.265625,relu,10,0.5,1,35,35,7,sigmoid,binary_crossentropy,RMSprop
10,0.10443931404981142,0.9752294,1.4040806237608194,0.609375,relu,10,0.25,10,35,5,357,sigmoid,sparse_categorical_crossentropy,RMSprop
24,0.1299436993843159,0.9477064,3.5442263707518578,0.265625,elu,10,0.25,24,50,15,217,sigmoid,binary_crossentropy,adam
5,0.12854944860712492,0.9504587,1.558677315711975,0.71875,relu,32,0.25,5,50,15,357,sigmoid,binary_crossentropy,RMSprop
10,0.10394698937325182,0.9752294,4.490659594535828,0.40625,elu,10,0.25,10,35,5,357,sigmoid,binary_crossentropy,RMSprop
24,0.8132984419481399,0.9495413,11.541100591421127,0.265625,elu,10,0.5,24,65,35,287,sigmoid,sparse_categorical_crossentropy,RMSprop
24,0.23192100013273026,0.9504587,2.266029365360737,0.265625,elu,10,0.5,24,35,35,147,sigmoid,sparse_categorical_crossentropy,adam
5,0.38424419255183856,0.9385321,0.9760069232434034,0.265625,elu,10,0.5,5,65,35,77,sigmoid,binary_crossentropy,RMSprop
5,0.366558578217385,0.9348624,1.419565498828888,0.265625,elu,32,0.5,5,65,15,77,sigmoid,sparse_categorical_crossentropy,adam
10,0.4155637735473126,0.9293578,0.43825678480789065,0.84375,elu,10,0.5,10,50,15,287,sigmoid,binary_crossentropy,RMSprop
24,0.12159675646804305,0.9495413,0.8393661808222532,0.265625,relu,10,0.5,24,20,15,77,sigmoid,sparse_categorical_crossentropy,adam
10,0.8132984750861195,0.9495413,11.603644579648972,0.265625,elu,10,0.5,10,50,15,427,sigmoid,sparse_categorical_crossentropy,adam
5,0.11306003117325092,0.96880734,1.3061515614390373,0.390625,elu,10,0.25,5,50,5,77,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.7618658556918279,0.94495416,0.8316487111151218,0.265625,relu,10,0.5,1,50,35,217,sigmoid,sparse_categorical_crossentropy,RMSprop
10,0.15683474069403683,0.9669725,2.329245497006923,0.578125,relu,10,0.5,10,50,5,357,sigmoid,binary_crossentropy,RMSprop
1,0.6732705476087167,0.69633025,1.059312954545021,0.265625,elu,10,0.5,1,50,5,7,sigmoid,binary_crossentropy,RMSprop
1,0.25154032849891045,0.9,2.0000887252390385,0.265625,elu,10,0.25,1,50,5,357,sigmoid,sparse_categorical_crossentropy,RMSprop
10,0.07125687339328281,0.98165137,2.3370360508561134,0.421875,relu,10,0.25,10,65,5,147,sigmoid,binary_crossentropy,adam
24,0.05974671410037837,0.98440367,1.9637487530708313,0.5,elu,32,0.25,24,50,5,147,sigmoid,binary_crossentropy,adam
10,0.8132984452291292,0.9495413,11.836726397275925,0.265625,relu,10,0.25,10,50,15,357,sigmoid,sparse_categorical_crossentropy,adam
10,0.08383484897704382,0.97155964,1.1324511766433716,0.515625,relu,32,0.25,10,20,5,217,sigmoid,sparse_categorical_crossentropy,adam
5,0.1843756974274984,0.9522936,2.3659454062581062,0.328125,elu,10,0.5,5,50,5,357,sigmoid,binary_crossentropy,RMSprop
10,0.08809145645264092,0.9770642,1.057670384645462,0.640625,relu,32,0.25,10,65,15,147,sigmoid,binary_crossentropy,RMSprop
24,0.14526552794620784,0.9495413,2.0856135487556458,0.265625,relu,32,0.5,24,20,15,427,sigmoid,sparse_categorical_crossentropy,adam
10,0.13147711280313878,0.9495413,0.8415998928248882,0.265625,relu,10,0.5,10,50,35,287,sigmoid,binary_crossentropy,adam
5,0.12017593301764624,0.9495413,1.0693077445030212,0.265625,relu,32,0.25,5,35,15,147,sigmoid,binary_crossentropy,adam
1,0.3517459602599297,0.8486239,1.4705112371593714,0.328125,elu,10,0.5,1,50,5,77,sigmoid,sparse_categorical_crossentropy,RMSprop
24,0.4142279297522529,0.9678899,0.5606557810679078,0.859375,relu,10,0.5,24,50,15,77,sigmoid,binary_crossentropy,RMSprop
10,0.08975276041844296,0.96146786,2.057016909122467,0.265625,relu,32,0.0,10,35,35,147,sigmoid,binary_crossentropy,adam
5,0.13765379198113406,0.94862384,1.2058338820934296,0.515625,elu,32,0.5,5,65,5,147,sigmoid,sparse_categorical_crossentropy,RMSprop
1,25.36030352550726,0.92752296,1.885354995727539,0.265625,relu,32,0.0,1,35,35,287,sigmoid,binary_crossentropy,RMSprop
24,0.8132984452291289,0.9495413,11.836726427078247,0.265625,relu,10,0.5,24,35,35,357,sigmoid,sparse_categorical_crossentropy,adam
1,0.3278916085395244,0.88073397,0.7718355059623718,0.359375,elu,32,0.0,1,65,5,7,sigmoid,binary_crossentropy,RMSprop
1,0.7905160188674912,0.9284404,11.836726188659668,0.265625,relu,32,0.0,1,35,15,427,sigmoid,sparse_categorical_crossentropy,RMSprop
