round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neurons,last_activation,loss,optimizer
10,1.4570318385958672,0.265625,0.08689083873822882,0.9692192,relu,12,0.0,10,10,1,10,sigmoid,binary_crossentropy,adam
10,1.094690378755331,0.28125,0.08172107712252417,0.966967,relu,12,0.0,10,10,1,10,sigmoid,binary_crossentropy,RMSprop
10,1.1372866034507751,0.265625,0.08396563662828559,0.966967,relu,12,0.0,10,10,1,10,sigmoid,sparse_categorical_crossentropy,adam
10,1.0544382706284523,0.46875,0.07767671605504982,0.9662162,relu,12,0.0,10,10,1,10,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.2156132273375988,0.265625,0.0946040886647261,0.9662162,relu,12,0.0,10,10,1,20,sigmoid,binary_crossentropy,adam
10,1.2386710792779922,0.578125,0.07545883118841998,0.9714715,relu,12,0.0,10,10,1,20,sigmoid,binary_crossentropy,RMSprop
10,1.0844486244022846,0.40625,0.07572619827581686,0.9714715,relu,12,0.0,10,10,1,20,sigmoid,sparse_categorical_crossentropy,adam
10,1.2207986190915108,0.390625,0.0851027186905445,0.9677177,relu,12,0.0,10,10,1,20,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.3706891238689423,0.3125,0.08216490981857048,0.96997,relu,12,0.0,10,10,1,30,sigmoid,binary_crossentropy,adam
10,1.3922472409904003,0.296875,0.08819605068089692,0.9677177,relu,12,0.0,10,10,1,30,sigmoid,binary_crossentropy,RMSprop
10,1.2475343085825443,0.578125,0.07515465951344284,0.966967,relu,12,0.0,10,10,1,30,sigmoid,sparse_categorical_crossentropy,adam
10,1.5500735118985176,0.296875,0.08615770728142748,0.9654655,relu,12,0.0,10,10,1,30,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.1061965562403202,0.390625,0.07738981965031508,0.9692192,relu,12,0.0,10,10,1,40,sigmoid,binary_crossentropy,adam
10,1.2060664221644402,0.53125,0.07275798061006777,0.9692192,relu,12,0.0,10,10,1,40,sigmoid,binary_crossentropy,RMSprop
10,1.3540976494550705,0.328125,0.07762583815660495,0.9677177,relu,12,0.0,10,10,1,40,sigmoid,sparse_categorical_crossentropy,adam
10,1.1500313207507133,0.78125,0.07182544700461566,0.9684685,relu,12,0.0,10,10,1,40,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.2043077498674393,0.53125,0.07164198891805099,0.9677177,relu,12,0.0,10,10,1,50,sigmoid,binary_crossentropy,adam
10,1.6054515801370144,0.359375,0.08373365023903348,0.9684685,relu,12,0.0,10,10,1,50,sigmoid,binary_crossentropy,RMSprop
10,1.1534120850265026,0.453125,0.0803089074597501,0.9714715,relu,12,0.0,10,10,1,50,sigmoid,sparse_categorical_crossentropy,adam
10,1.2198067754507065,0.5,0.08565654144475555,0.9662162,relu,12,0.0,10,10,1,50,sigmoid,sparse_categorical_crossentropy,RMSprop
10,0.8540910668671131,0.75,0.07618706965365925,0.96997,relu,12,0.0,10,10,4,10,sigmoid,binary_crossentropy,adam
10,1.5483685359358788,0.390625,0.06958337503496918,0.9707207,relu,12,0.0,10,10,4,10,sigmoid,binary_crossentropy,RMSprop
10,1.1876100488007069,0.796875,0.07836817128469471,0.9692192,relu,12,0.0,10,10,4,10,sigmoid,sparse_categorical_crossentropy,adam
10,1.4151996038854122,0.5,0.07808204522819955,0.9677177,relu,12,0.0,10,10,4,10,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.6655955128371716,0.671875,0.0625839773944405,0.9782282,relu,12,0.0,10,10,4,20,sigmoid,binary_crossentropy,adam
10,2.047427650541067,0.5625,0.07112826563919757,0.9744745,relu,12,0.0,10,10,4,20,sigmoid,binary_crossentropy,RMSprop
10,1.5492799393832684,0.640625,0.07169869618054044,0.9722222,relu,12,0.0,10,10,4,20,sigmoid,sparse_categorical_crossentropy,adam
10,1.603516649454832,0.78125,0.07323636206051519,0.9737237,relu,12,0.0,10,10,4,20,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.3454578556120396,0.78125,0.06528546944599355,0.9752252,relu,12,0.0,10,10,4,30,sigmoid,binary_crossentropy,adam
10,1.3905874975025654,0.78125,0.0688370809982623,0.975976,relu,12,0.0,10,10,4,30,sigmoid,binary_crossentropy,RMSprop
10,1.9354642890393734,0.734375,0.06489994610777242,0.972973,relu,12,0.0,10,10,4,30,sigmoid,sparse_categorical_crossentropy,adam
10,1.1833721660077572,0.796875,0.06950133993066973,0.9737237,relu,12,0.0,10,10,4,30,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.806515421718359,0.703125,0.06567329256024489,0.972973,relu,12,0.0,10,10,4,40,sigmoid,binary_crossentropy,adam
10,2.079114206135273,0.515625,0.07128639745175722,0.9737237,relu,12,0.0,10,10,4,40,sigmoid,binary_crossentropy,RMSprop
10,1.786999985575676,0.71875,0.068693486241328,0.9737237,relu,12,0.0,10,10,4,40,sigmoid,sparse_categorical_crossentropy,adam
10,1.4650116749107838,0.796875,0.06183769178086722,0.975976,relu,12,0.0,10,10,4,40,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.0665971674025059,0.78125,0.058846464031375945,0.9782282,relu,12,0.0,10,10,4,50,sigmoid,binary_crossentropy,adam
10,1.6395413912832737,0.796875,0.0732545359791697,0.9714715,relu,12,0.0,10,10,4,50,sigmoid,binary_crossentropy,RMSprop
10,1.8001569602638483,0.78125,0.05367096452149175,0.978979,relu,12,0.0,10,10,4,50,sigmoid,sparse_categorical_crossentropy,adam
10,1.521432876586914,0.796875,0.0646249251355609,0.9744745,relu,12,0.0,10,10,4,50,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.0524631645530462,0.796875,0.07271344041680447,0.972973,relu,12,0.0,10,10,8,10,sigmoid,binary_crossentropy,adam
10,1.6101616770029068,0.265625,0.07185266434995306,0.966967,relu,12,0.0,10,10,8,10,sigmoid,binary_crossentropy,RMSprop
10,1.482020027935505,0.546875,0.07086709111421327,0.9692192,relu,12,0.0,10,10,8,10,sigmoid,sparse_categorical_crossentropy,adam
10,1.0355685129761696,0.796875,0.08112754695576842,0.972973,relu,12,0.0,10,10,8,10,sigmoid,sparse_categorical_crossentropy,RMSprop
