,0
0,0.59375
1,0.703125
2,0.640625
3,0.671875
4,0.65625
5,0.6875
6,0.59375
7,0.703125
8,0.6875
9,0.703125
10,0.640625
11,0.5625
12,0.59375
13,0.515625
14,0.671875
15,0.609375
16,0.546875
17,0.734375
18,0.390625
19,0.53125
20,0.546875
21,0.53125
22,0.671875
23,0.59375
24,0.53125
25,0.6875
26,0.609375
27,0.59375
28,0.734375
29,0.734375
30,0.5
31,0.6875
32,0.65625
33,0.453125
34,0.46875
35,0.6875
36,0.671875
37,0.75
38,0.765625
39,0.578125
40,0.484375
41,0.765625
42,0.65625
43,0.625
44,0.71875
45,0.578125
46,0.703125
47,0.5625
48,0.671875
49,0.578125
50,0.40625
51,0.515625
52,0.6875
53,0.65625
54,0.515625
55,0.5
56,0.703125
57,0.5625
58,0.5625
59,0.671875
60,0.640625
61,0.359375
62,0.640625
63,0.734375
64,0.796875
65,0.453125
66,0.5
67,0.734375
68,0.53125
69,0.421875
70,0.46875
71,0.65625
72,0.65625
73,0.65625
74,0.5625
75,0.546875
76,0.484375
77,0.515625
78,0.6875
79,0.453125
80,0.625
81,0.515625
82,0.703125
83,0.5
84,0.59375
85,0.5625
86,0.65625
87,0.578125
88,0.765625
89,0.46875
90,0.578125
91,0.546875
92,0.59375
93,0.546875
94,0.6875
95,0.65625
96,0.640625
97,0.703125
98,0.5
99,0.53125
