round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neurons,last_activation,loss,optimizer
10,0.08895805904322916,0.966967,1.47877861186862,0.296875,relu,12,0.0,10,10,1,10,sigmoid,binary_crossentropy,adam
10,0.08035573237030222,0.9677177,1.2647372260689735,0.265625,relu,12,0.0,10,10,1,10,sigmoid,sparse_categorical_crossentropy,adam
10,0.08114535389216365,0.9707207,1.1914766132831573,0.40625,relu,12,0.0,10,10,1,50,sigmoid,binary_crossentropy,adam
10,0.07094281402978676,0.9692192,1.2030207850039005,0.53125,relu,12,0.0,10,10,1,50,sigmoid,sparse_categorical_crossentropy,adam
10,0.07488731283019087,0.9722222,1.2494982182979584,0.578125,relu,12,0.0,10,10,5,10,sigmoid,binary_crossentropy,adam
10,0.07881000407170169,0.9737237,2.012724183499813,0.375,relu,12,0.0,10,10,5,10,sigmoid,sparse_categorical_crossentropy,adam
10,0.053214479821674085,0.9782282,2.739441517740488,0.78125,relu,12,0.0,10,10,5,50,sigmoid,binary_crossentropy,adam
10,0.05865347205670676,0.9804805,1.8047376722097397,0.78125,relu,12,0.0,10,10,5,50,sigmoid,sparse_categorical_crossentropy,adam
10,0.08152960247133632,0.9707207,1.2426517568528652,0.375,relu,12,0.0,10,20,1,10,sigmoid,binary_crossentropy,adam
10,0.07221858426592909,0.9707207,1.1637692973017693,0.484375,relu,12,0.0,10,20,1,10,sigmoid,sparse_categorical_crossentropy,adam
10,0.07084489748435649,0.966967,1.0604520849883556,0.609375,relu,12,0.0,10,20,1,50,sigmoid,binary_crossentropy,adam
10,0.07157233102049947,0.9684685,1.249406535178423,0.5,relu,12,0.0,10,20,1,50,sigmoid,sparse_categorical_crossentropy,adam
10,0.06853257210428096,0.9744745,1.38944885507226,0.75,relu,12,0.0,10,20,5,10,sigmoid,binary_crossentropy,adam
10,0.06882581939534829,0.9692192,1.3317728154361248,0.265625,relu,12,0.0,10,20,5,10,sigmoid,sparse_categorical_crossentropy,adam
