round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neurons,last_activation,loss,optimizer
1,0.7487793926752047,0.52255225,0.9215376620389977,0.15510204,relu,10,0.0,1,5,1,5,sigmoid,binary_crossentropy,adam
1,0.4769071074995664,0.8877888,0.3633529464809262,0.9959184,relu,10,0.0,1,5,1,5,sigmoid,binary_crossentropy,RMSprop
1,0.6010248942999425,0.8888889,0.42849148840320356,0.9959184,relu,10,0.0,1,5,1,5,sigmoid,sparse_categorical_crossentropy,adam
1,0.5632411007768381,0.8811881,0.5956540132055477,0.97959185,relu,10,0.0,1,5,1,5,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.7111813974852609,0.5940594,0.6546156661851066,0.48979592,relu,10,0.0,1,5,1,11,sigmoid,binary_crossentropy,adam
1,0.35336263469605816,0.8888889,0.25745655322561456,0.9959184,relu,10,0.0,1,5,1,11,sigmoid,binary_crossentropy,RMSprop
1,0.6029472117639086,0.88668865,0.41347126814783836,0.9918367,relu,10,0.0,1,5,1,11,sigmoid,sparse_categorical_crossentropy,adam
1,0.6367944013757674,0.7227723,0.7888530894201629,0.37959182,relu,10,0.0,1,5,1,11,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.5386461716542805,0.8030803,0.4089783168568903,0.9959184,relu,10,0.0,1,5,1,17,sigmoid,binary_crossentropy,adam
1,0.5775519282904396,0.86028606,0.41939541515038936,0.9959184,relu,10,0.0,1,5,1,17,sigmoid,binary_crossentropy,RMSprop
1,0.4954256809616771,0.889989,0.3335642449709834,0.9959184,relu,10,0.0,1,5,1,17,sigmoid,sparse_categorical_crossentropy,adam
1,0.6236885797203702,0.83828384,0.49276806383716815,0.9959184,relu,10,0.0,1,5,1,17,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.5107079442709324,0.8888889,0.282301560348394,0.9959184,relu,10,0.0,1,5,1,23,sigmoid,binary_crossentropy,adam
1,0.4532399732615426,0.8712871,0.39838751968072383,0.9918367,relu,10,0.0,1,5,1,23,sigmoid,binary_crossentropy,RMSprop
1,0.6069211541491636,0.8569857,0.39213930100810773,0.9959184,relu,10,0.0,1,5,1,23,sigmoid,sparse_categorical_crossentropy,adam
1,0.5738672060017014,0.8437844,0.35428430535355393,0.9959184,relu,10,0.0,1,5,1,23,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.5539320255860244,0.87678766,0.2245381970186623,0.9959184,relu,10,0.0,1,5,1,30,sigmoid,binary_crossentropy,adam
1,0.5505943003923062,0.88448846,0.33253150874254656,0.9918367,relu,10,0.0,1,5,1,30,sigmoid,binary_crossentropy,RMSprop
1,0.6240366586495285,0.80418044,0.3939638259459515,0.9959184,relu,10,0.0,1,5,1,30,sigmoid,sparse_categorical_crossentropy,adam
1,0.613447197134083,0.7359736,0.5592855142087353,1.0,relu,10,0.0,1,5,1,30,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.48395649975675953,0.88008803,0.3785232737356303,0.9959184,relu,10,0.0,1,5,1,36,sigmoid,binary_crossentropy,adam
1,0.618202716276066,0.68976897,0.578470264162336,0.9591837,relu,10,0.0,1,5,1,36,sigmoid,binary_crossentropy,RMSprop
1,0.5865571169373226,0.75247526,0.4032985750509768,0.9959184,relu,10,0.0,1,5,1,36,sigmoid,sparse_categorical_crossentropy,adam
1,0.5028186805702016,0.8613861,0.3216145762375423,0.9959184,relu,10,0.0,1,5,1,36,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.5675571916258112,0.8745875,0.20446241236462884,0.9959184,relu,10,0.0,1,5,1,42,sigmoid,binary_crossentropy,adam
1,0.6005600771494825,0.7557756,0.4710555356376025,1.0,relu,10,0.0,1,5,1,42,sigmoid,binary_crossentropy,RMSprop
1,0.6066471997923059,0.8228823,0.36274899025352636,0.9959184,relu,10,0.0,1,5,1,42,sigmoid,sparse_categorical_crossentropy,adam
1,0.46645782964982346,0.8888889,0.11093220578468575,0.9959184,relu,10,0.0,1,5,1,42,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.5251320248717654,0.8118812,0.37473096287980373,0.9959184,relu,10,0.0,1,5,1,49,sigmoid,binary_crossentropy,adam
1,0.3802782140745975,0.8855886,0.22317206570688558,0.9959184,relu,10,0.0,1,5,1,49,sigmoid,binary_crossentropy,RMSprop
1,0.5900802161827339,0.76237625,0.29817801744354017,0.9959184,relu,10,0.0,1,5,1,49,sigmoid,sparse_categorical_crossentropy,adam
1,0.3311859346901623,0.8877888,0.2146629259294393,0.9959184,relu,10,0.0,1,5,1,49,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.5689951722377992,0.8888889,0.23167598916559803,0.9959184,relu,10,0.0,1,5,1,55,sigmoid,binary_crossentropy,adam
1,0.44082420418495916,0.8888889,0.43985692213992683,0.9959184,relu,10,0.0,1,5,1,55,sigmoid,binary_crossentropy,RMSprop
1,0.552375416092091,0.84158415,0.17456120906435713,0.9959184,relu,10,0.0,1,5,1,55,sigmoid,sparse_categorical_crossentropy,adam
1,0.5302957810125466,0.88448846,0.3434895021574838,0.9959184,relu,10,0.0,1,5,1,55,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.4890171923521984,0.8954896,0.34291483309804177,0.9959184,relu,10,0.0,1,5,1,61,sigmoid,binary_crossentropy,adam
1,0.5418411873944915,0.8789879,0.3907727957988272,0.89387757,relu,10,0.0,1,5,1,61,sigmoid,binary_crossentropy,RMSprop
1,0.5313647857265766,0.8580858,0.31967063096104836,0.9959184,relu,10,0.0,1,5,1,61,sigmoid,sparse_categorical_crossentropy,adam
